报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2007-12-31,507.45万,False,115.20万,False,3436.03万,False,0.1542,3.81,1.85,1.00,-0.03,14.77%,33.43%,35.39%,21.33%,109.56,3.32,108.33,1.24,5.73,2.28,2.28,0.20,16.86%
2008-12-31,4613.36万,809.13%,4620.71万,3911.07%,1.45亿,321.54%,0.8317,10.19,1.66,7.33,0.79,31.85%,51.05%,98.10%,65.13%,92.93,3.94,91.28,1.66,2.68,1.40,1.40,0.61,37.92%
2009-12-31,6989.14万,51.50%,6779.16万,46.71%,1.92亿,32.71%,1.1649,1.76,0.24,0.51,0.92,36.36%,59.01%,69.93%,66.13%,151.26,2.40,149.86,1.40,2.41,1.34,1.34,0.75,42.97%
2010-03-31,2052.21万,False,2073.41万,False,4627.31万,False,0.3500,False,False,False,0.42,44.35%,58.07%,False,10.67%,False,False,False,False,False,False,False,False,False
2010-06-30,4992.21万,False,4891.53万,False,1.13亿,False,0.8320,2.59,0.24,1.34,0.98,44.27%,58.14%,38.21%,32.10%,118.18,1.59,112.94,5.23,6.49,4.60,4.60,0.20,16.61%
2010-09-30,6791.25万,False,False,False,1.51亿,False,1.1319,False,False,False,False,45.11%,58.94%,False,False,False,False,False,False,False,False,False,False,False
2010-12-31,8881.49万,27.08%,8174.86万,20.59%,2.06亿,7.24%,1.4802,3.24,0.24,1.84,1.57,43.08%,57.54%,59.17%,45.72%,146.76,3.01,119.63,27.13,14.78,11.65,11.65,0.16,13.56%
2011-03-31,2564.90万,24.98%,2046.90万,-1.28%,5373.40万,16.12%,0.4275,3.66,0.24,2.27,0.52,47.73%,59.94%,False,11.67%,135.79,1.04,86.13,49.66,11.49,9.34,9.34,0.14,12.55%
2011-06-30,5006.58万,0.29%,3970.39万,-18.83%,1.02亿,-9.43%,0.6081,13.37,10.25,2.01,0.32,49.02%,59.23%,14.03%,4.68%,160.99,1.73,104.20,56.79,73.94,70.20,70.20,0.02,1.74%
2011-09-30,6208.55万,-8.58%,4958.69万,False,1.33亿,-11.40%,0.6933,13.52,10.25,2.16,0.19,46.54%,58.28%,10.48%,5.74%,202.49,1.94,139.08,63.41,205.70,195.77,195.77,0.0067,0.67%
2011-12-31,6426.51万,-27.64%,5233.59万,-35.98%,1.68亿,-18.39%,0.6898,13.55,10.25,2.09,0.51,38.20%,56.25%,9.08%,5.93%,208.87,2.54,141.51,67.37,82.01,78.30,78.30,0.03,3.25%
2012-03-31,1345.74万,-47.53%,643.70万,-68.55%,2633.91万,-50.98%,0.1682,13.71,10.25,2.25,0.16,51.09%,46.28%,1.23%,1.23%,325.60,0.39,233.77,91.84,106.28,100.18,100.18,0.04,3.62%
2012-06-30,2426.68万,-51.53%,804.88万,-79.73%,5296.89万,-48.13%,0.2333,10.19,7.65,1.38,0.16,45.81%,49.24%,2.23%,2.29%,363.83,0.68,265.10,98.74,113.02,107.63,107.63,0.04,3.58%
2012-09-30,4044.54万,-34.86%,1586.21万,-68.01%,8692.14万,-34.84%,0.3889,10.35,7.65,1.53,0.29,46.53%,49.76%,3.74%,3.76%,333.94,1.08,249.33,84.61,132.67,125.71,125.71,0.03,2.56%
