SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,SECURITY_INNER_CODE,ACCOUNTING_STANDARDS,NOTICE_DATE,START_DATE,REPORT_DATE,FINANCIAL_DATE,STD_REPORT_DATE,CURRENCY,DATE_TYPE,DATE_TYPE_CODE,REPORT_TYPE,REPORT_DATA_TYPE,ORGTYPE,OPERATE_INCOME,OPERATE_INCOME_YOY,GROSS_PROFIT,GROSS_PROFIT_YOY,PARENT_HOLDER_NETPROFIT,PARENT_HOLDER_NETPROFIT_YOY,BASIC_EPS,DILUTED_EPS,GROSS_PROFIT_RATIO,NET_PROFIT_RATIO,ACCOUNTS_RECE_TR,INVENTORY_TR,TOTAL_ASSETS_TR,ACCOUNTS_RECE_TDAYS,INVENTORY_TDAYS,TOTAL_ASSETS_TDAYS,ROE_AVG,ROA,CURRENT_RATIO,SPEED_RATIO,OCF_LIQDEBT,DEBT_ASSET_RATIO,EQUITY_RATIO,BASIC_EPS_YOY,GROSS_PROFIT_RATIO_YOY,NET_PROFIT_RATIO_YOY,ROE_AVG_YOY,ROA_YOY,DEBT_ASSET_RATIO_YOY,CURRENT_RATIO_YOY,SPEED_RATIO_YOY,CURRENCY_ABBR
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2025-10-03 00:00:00,2024-08-30 00:00:00,2025-08-28 00:00:00,8-28,2025-12-31 00:00:00,美元,年报,001,2025/FY,2025年 年报,一般企业,37378000000,48.8511011111,14873000000,164.9741671121,8539000000,997.557840617,7.65,7.59,39.7907860239,22.844989031,4.707556675063,2.61230412072,0.491124338103,76.47279148162,137.809375694273,733.011932152505,17.199081534,11.2197301168,2.517984983412,1.788545486293,1.530033176183,34.5817531824,52.8625496169,992.8571428571,78.0129035896,637.3528529109,886.5264948401,863.8440390307,-1.1518641585,-4.454599021,6.7333590839,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2025-10-03 00:00:00,2023-09-01 00:00:00,2024-08-29 00:00:00,8-29,2024-12-31 00:00:00,美元,年报,001,2024/FY,2024年 年报,一般企业,25111000000,61.5894465894,5613000000,496.3983050847,778000000,113.3379050231,0.7,0.7,22.3527537732,3.0982437975,5.544491057629,2.259066156876,0.375716316301,64.929313846517,159.357882859807,958.169726415584,1.7433978331,1.1640607466,2.635380622837,1.67571366782,0.919874567474,34.9847297453,53.8100197204,113.1086142322,345.3120011542,108.2541931447,114.0516430698,113.0252869603,11.6474036484,-40.8887748643,-37.8954995165,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2025-10-03 00:00:00,2022-09-02 00:00:00,2023-08-31 00:00:00,8-31,2023-12-31 00:00:00,美元,年报,001,2023/FY,2023年 年报,一般企业,15540000000,-49.476558944,-1416000000,-110.1885163333,-5833000000,-167.146310579,-5.34,-5.34,-9.111969112,-37.5353925354,4.104053875611,2.253289036545,0.238093414128,87.718146718141,159.766454352431,1512.01158301028,-12.4070745637,-8.9369297594,4.45834207765,2.698216159496,0.327177334732,31.3350141625,45.6346328196,-168.3738796415,-120.1659192651,-232.9013012093,-167.0127706377,-164.3660581707,26.8306511807,54.315416755,34.5538538593,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2024-10-04 00:00:00,2021-09-03 00:00:00,2022-09-01 00:00:00,9-1,2022-12-31 00:00:00,美元,年报,001,2022/FY,2022年 年报,一般企业,30758000000,11.0196715394,13898000000,33.3397294445,8687000000,48.217027811,7.81,7.75,45.1849925223,28.2430587164,5.891772818696,3.024215246637,0.491608861043,61.102152285579,119.039145907464,732.289485661878,18.5144927536,13.8845379279,2.889109961533,2.005305743467,2.013662289428,24.7061840894,32.81303224,49.3307839388,20.1045973166,33.5051939492,30.9834814507,33.2865892697,-2.5251925798,-6.7682604466,-16.458598599,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2023-10-06 00:00:00,2020-09-04 00:00:00,2021-09-02 00:00:00,9-2,2021-12-31 00:00:00,美元,年报,001,2021/FY,2021年 年报,一般企业,27705000000,29.2512246326,10423000000,59.0811965812,5861000000,118.1243021958,5.23,5.14,37.6213679841,21.1550261686,6.00780657053,3.505476673428,0.492415153696,59.922035733624,102.696447170466,731.09041689292,14.1349829372,10.4170554622,3.098848069738,2.400373599004,1.940846824408,25.3462250845,33.9516991783,116.1157024793,23.0790632997,67.327670083,96.9455000734,98.8137873973,-7.3331514722,14.4495237557,26.4809309831,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2022-10-07 00:00:00,2019-09-04 00:00:00,2020-09-03 00:00:00,9-3,2020-12-31 00:00:00,美元,年报,001,2020/FY,2020年 年报,一般企业,21435000000,-8.4209177134,6552000000,-38.7777985423,2687000000,-57.4370346903,2.42,2.37,30.566829951,12.6428738045,6.032081046855,2.837289104947,0.417978842685,59.680895731283,126.881677081238,861.287613716146,7.1771037835,5.2396041535,2.707611152977,1.897814619442,1.251846269781,27.351987779,37.6500153862,-57.3192239859,-33.148269311,-53.4572028518,-61.2467091368,-61.7122130513,11.2535673975,4.8393338637,6.5176584825,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2021-10-08 00:00:00,2018-08-31 00:00:00,2019-08-29 00:00:00,8-29,2019-12-31 00:00:00,美元,年报,001,2019/FY,2019年 年报,一般企业,23406000000,-22.9837780922,10702000000,-40.1822145213,6313000000,-55.337813937,5.67,5.51,45.7233188071,27.1639750491,5.397440332065,2.91610237576,0.507375654379,66.698282491669,123.452455919411,709.533452961239,18.5199853319,13.684792387,2.582629107981,1.781690140845,2.064006259781,24.5852680672,32.6000867961,-53.7897310513,-22.3309271775,-41.6084053107,-66.6450281863,-61.8975104929,5.459907801,-7.3480398571,-17.6161598327,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2020-10-19 00:00:00,2017-08-31 00:00:00,2018-08-30 00:00:00,8-30,2018-12-31 00:00:00,美元,年报,001,2018/FY,2018年 年报,一般企业,30391000000,49.5472886527,17891000000,112.0791844476,14135000000,177.7559441934,12.27,11.51,58.8694021256,46.5203514198,6.580274981054,3.721345638583,0.772207541417,54.708959889445,96.739199999998,466.195913263681,55.523912403,35.9157434699,2.78745220716,2.162669447341,3.023983315954,23.3124308373,30.3992303992,162.7408993576,41.8141287335,85.7341024661,67.4827701594,121.8744631967,-48.0108516209,19.3567477964,23.5877312204,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2019-10-17 00:00:00,2016-09-01 00:00:00,2017-08-31 00:00:00,8-31,2017-12-31 00:00:00,美元,年报,001,2017/FY,2017年 年报,一般企业,20322000000,63.9003145415,8436000000,236.7664670659,5089000000,1943.8405797101,4.67,4.41,41.511662238,25.0467473674,6.975115840055,3.954091816367,0.646415166359,51.612046058458,91.04492680465,556.91762621805,33.1520145924,16.1874165023,2.335395575553,1.749906261717,1.528496437945,44.8409553996,81.293930532,1829.6296296296,105.4702994362,1229.289529467,1564.3340938546,1615.6055201351,-15.485908041,18.9219337314,28.0774564851,USD
MU.O,MU,美光科技,10162187,1000198892,美国会计准则,2018-10-15 00:00:00,2015-09-02 00:00:00,2016-09-01 00:00:00,9-1,2016-12-31 00:00:00,美元,年报,001,2016/FY,2016年 年报,一般企业,12399000000,-23.4251482213,2505000000,-51.9654841802,-276000000,-109.5205243187,-0.27,-0.27,20.203242197,-2.2179208001,5.420327868852,3.784279977051,0.479809608575,66.416646503756,95.130382049729,750.297604646089,-2.2639652202,-1.0680494553,1.963805584281,1.366287487073,0.655222337125,53.0573710966,113.025990099,-109.963099631,-37.2711605648,-112.3879177631,-109.0316515252,-108.5766323886,17.4765325004,-10.7880315656,-14.7162302266,USD
