日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,4654.408,4797.587,4631.266,4786.644,2002317700,40095373000.0
2020-01-03,4809.805,4856.752,4784.551,4832.662,1962690500,41247426000.0
2020-01-06,4786.632,4929.431,4779.199,4903.621,2176324200,41690366000.0
2020-01-07,4926.955,4945.314,4887.86,4945.314,1917439400,37134408000.0
2020-01-08,4906.977,4943.064,4842.359,4862.565,2093042900,41045225000.0
2020-01-09,4911.683,4969.408,4901.709,4969.408,1677690800,35645923000.0
2020-01-10,4975.499,5042.659,4970.158,5007.941,1870794600,40571273000.0
2020-01-13,5000.132,5191.177,4984.915,5191.177,2237336400,50068303000.0
2020-01-14,5209.392,5215.082,5116.808,5124.901,1962623900,46007427000.0
2020-01-15,5100.002,5210.402,5086.36,5199.37,2012665200,41894300000.0
2020-01-16,5189.777,5259.419,5185.033,5213.539,1941955400,42021980000.0
2020-01-17,5226.64,5260.143,5175.798,5210.642,1675543500,37004900000.0
2020-01-20,5205.712,5403.874,5186.595,5398.861,1988310600,46778468000.0
2020-01-21,5355.365,5413.224,5333.491,5357.779,2035278200,47617537000.0
2020-01-22,5296.215,5600.205,5245.602,5580.544,2325893600,55389001000.0
2020-01-23,5498.754,5630.232,5289.874,5383.678,2666411900,64264877000.0
2020-02-03,4819.756,4844.674,4817.072,4817.863,307944610,13045841700.0
2020-02-04,4505.602,4903.437,4505.602,4849.702,2469540400,53320648000.0
2020-02-05,4863.263,5063.048,4863.263,4903.987,2252616200,53506488000.0
2020-02-06,4862.614,5060.4,4835.914,5053.811,2140760300,47583912000.0
2020-02-07,5041.124,5283.301,5018.062,5278.593,2458626400,56124529000.0
2020-02-10,5259.531,5335.698,5186.219,5285.08,2141320600,52663874000.0
2020-02-11,5299.379,5381.667,5266.446,5316.372,2063468600,49210810000.0
2020-02-12,5301.282,5531.215,5297.334,5523.165,2520562300,56616966000.0
2020-02-13,5516.956,5726.955,5496.767,5603.323,2954432700,72352996000.0
2020-02-14,5594.811,5860.839,5594.811,5710.705,3192578500,75428358000.0
2020-02-17,5770.809,5945.596,5753.206,5945.596,2822722700,66713339000.0
2020-02-18,5941.139,6184.234,5935.685,6184.234,3108912900,79252293000.0
2020-02-19,6145.655,6369.278,6078.12,6164.804,3446052000,86390758000.0
2020-02-20,6174.299,6298.35,6058.832,6291.441,3162503900,78790589000.0
2020-02-21,6284.176,6493.671,6284.176,6422.139,3401606500,87155745000.0
2020-02-24,6420.099,6777.253,6399.136,6761.092,3618091900,96220835000.0
2020-02-25,6571.776,6879.12,6342.591,6828.643,4536319000,121496667000.0
2020-02-26,6685.033,6755.08,6314.445,6331.552,4076755500,102549812000.0
2020-02-27,6332.984,6389.223,6081.05,6167.366,3538510900,91971601000.0
2020-02-28,5836.0,5948.401,5706.496,5753.534,3397956900,87879837000.0
2020-03-02,5895.693,6043.385,5790.199,5975.688,3017017800,76553408000.0
2020-03-03,6109.055,6273.507,5954.007,6022.545,3108148400,82286014000.0
2020-03-04,5932.625,6000.876,5744.212,5914.124,2615356200,72875668000.0
2020-03-05,6036.91,6063.047,5844.542,5989.482,2751238000,72456572000.0
2020-03-06,5872.359,5975.434,5861.474,5910.149,2020842900,50833245000.0
