序号,企业名称,最新状态,注册地,行业,保荐机构,律师事务所,会计师事务所,更新日期,受理日期,拟上市地点,招股说明书
1,长鑫科技集团股份有限公司,已受理,安徽,计算机、通信和其他电子设备制造业,"中国国际金融股份有限公司,中信建投证券股份有限公司",上海市锦天城律师事务所,德勤华永会计师事务所(特殊普通合伙),2026-05-20,2025-12-30,科创板,https://pdf.dfcfw.com/pdf/H2_AN202605171822383834_1.pdf
2,武汉新芯集成电路股份有限公司,终止,湖北,计算机、通信和其他电子设备制造业,"国泰海通证券股份有限公司,华源证券股份有限公司",国浩律师(上海)事务所,安永华明会计师事务所(特殊普通合伙),2026-05-19,2024-09-30,科创板,https://pdf.dfcfw.com/pdf/H2_AN202509291752875884_1.pdf
3,杭州沃镭智能科技股份有限公司,已问询,浙江,专用设备制造业,中信建投证券股份有限公司,上海市锦天城律师事务所,中审众环会计师事务所(特殊普通合伙),2026-05-18,2025-12-29,科创板,https://pdf.dfcfw.com/pdf/H2_AN202605181822401226_1.pdf
4,杭州云深处科技股份有限公司,已受理,浙江,通用设备制造业,中信建投证券股份有限公司,北京市中伦律师事务所,天健会计师事务所(特殊普通合伙),2026-05-18,2026-05-18,科创板,https://pdf.dfcfw.com/pdf/H2_AN202605181822411069_1.pdf
5,苏州信诺维医药科技股份有限公司,已问询,江苏,医药制造业,国泰海通证券股份有限公司,北京市中伦律师事务所,安永华明会计师事务所(特殊普通合伙),2026-05-18,2025-12-22,科创板,https://pdf.dfcfw.com/pdf/H2_AN202605181822398571_1.pdf
6,浙江华盛雷达股份有限公司,已问询,浙江,计算机、通信和其他电子设备制造业,中信证券股份有限公司,北京国枫律师事务所,天健会计师事务所(特殊普通合伙),2026-05-15,2025-12-31,科创板,https://pdf.dfcfw.com/pdf/H2_AN202603311820919114_1.pdf
7,苏州华太电子技术股份有限公司,已受理,江苏,计算机、通信和其他电子设备制造业,华泰联合证券有限责任公司,北京市中伦律师事务所,天衡会计师事务所(特殊普通合伙),2026-05-15,2026-05-15,科创板,https://pdf.dfcfw.com/pdf/H2_AN202605151822352358_1.pdf
8,深之蓝海洋科技股份有限公司,已问询,天津,通用设备制造业,中国国际金融股份有限公司,北京金杜(成都)律师事务所,天职国际会计师事务所(特殊普通合伙),2026-05-15,2025-12-26,科创板,https://pdf.dfcfw.com/pdf/H2_AN202604271821640981_1.pdf
9,江苏鑫华半导体科技股份有限公司,已问询,江苏,计算机、通信和其他电子设备制造业,招商证券股份有限公司,北京市竞天公诚律师事务所,毕马威华振会计师事务所(特殊普通合伙),2026-05-15,2026-02-25,科创板,https://pdf.dfcfw.com/pdf/H2_AN202605151822349009_1.pdf
10,上海频准激光科技股份有限公司,已问询,上海,计算机、通信和其他电子设备制造业,中信建投证券股份有限公司,浙江天册律师事务所,中汇会计师事务所(特殊普通合伙),2026-05-14,2025-12-08,科创板,https://pdf.dfcfw.com/pdf/H2_AN202604301821841600_1.pdf
11,国仪量子技术(合肥)股份有限公司,提交注册,安徽,仪器仪表制造业,华泰联合证券有限责任公司,安徽天禾律师事务所,容诚会计师事务所(特殊普通合伙),2026-05-12,2025-12-10,科创板,https://pdf.dfcfw.com/pdf/H2_AN202604151821238198_1.pdf
12,北京微纳星空科技股份有限公司,已受理,北京,铁路、船舶、航空航天和其他运输设备制造业,国泰海通证券股份有限公司,北京市中伦律师事务所,中汇会计师事务所(特殊普通合伙),2026-05-11,2026-05-11,科创板,https://pdf.dfcfw.com/pdf/H2_AN202605111822169950_1.pdf
