model,variable,coef,std_err,t_stat,p_value,ci_low,ci_high
CAPM_沪深300_兆易创新,const,0.0012575375825343816,0.0007439489385570972,1.6903546968873955,0.0911624894912665,-0.00020172243491262207,0.0027167975999813853
CAPM_沪深300_兆易创新,mkt,1.3797708987485975,0.06290395253085755,21.93456600476338,5.047312270944702e-93,1.2563844428908886,1.5031573546063064
CAPM_沪深300_兆易创新,_model_fit_,0.23804818681865025,1542.0,481.1251858173208,5.047312270945481e-93,,
CAPM_科创50_兆易创新,const,0.0008673187602684115,0.0006673540397079534,1.2996381360753677,0.19391952878459698,-0.00044169993329454087,0.002176337453831364
CAPM_科创50_兆易创新,mkt,1.017560464886784,0.03261996029814659,31.19441150713479,5.549839239381844e-166,0.9535762297239286,1.0815447000496394
CAPM_科创50_兆易创新,_model_fit_,0.38720889515018164,1542.0,973.0913092764625,5.549839239383331e-166,,
TwoFactor_Mkt+MU_兆易创新,const,0.001024049840002863,0.0007535261886447703,1.359010284492745,0.17434968955988575,-0.0004540390660164868,0.002502138746022213
TwoFactor_Mkt+MU_兆易创新,mkt,1.3583712696358574,0.0637645493503596,21.302922759983353,4.381255933437054e-88,1.2332931045868105,1.4834494346849043
TwoFactor_Mkt+MU_兆易创新,mu,0.042343243375490384,0.022742543372010184,1.861851714773611,0.06282141047443282,-0.002267682640618225,0.086954169391599
TwoFactor_Mkt+MU_兆易创新,_model_fit_,0.24322737818653273,1488.0,238.6401451346568,1.3546228057301482e-90,,
CAPM_沪深300_澜起科技,const,0.0012041231281828236,0.0007755610466055242,1.5525832988299633,0.12072818904408869,-0.0003171442165839215,0.0027253904729495687
CAPM_沪深300_澜起科技,mkt,1.3080043641205892,0.06557688670821571,19.94611866739806,6.392439828409168e-79,1.1793749328755485,1.4366337953656299
CAPM_沪深300_澜起科技,_model_fit_,0.2053038843975702,1542.0,397.84764989392545,6.392439828408865e-79,,
CAPM_科创50_澜起科技,const,0.0007306678066005513,0.0006214000883546944,1.1758411694712974,0.23984009350082539,-0.00048821195352487614,0.0019495475667259787
CAPM_科创50_澜起科技,mkt,1.16862078932211,0.030373752169486325,38.47469297837079,1.6399730041712535e-227,1.1090425040076082,1.228199074636612
CAPM_科创50_澜起科技,_model_fit_,0.4901172134070605,1542.0,1480.3019997798938,1.6399730041715197e-227,,
TwoFactor_Mkt+MU_澜起科技,const,0.0013141614882920562,0.0007920578502230815,1.6591736170810318,0.09729197082417071,-0.0002395096899397897,0.002867832666523902
TwoFactor_Mkt+MU_澜起科技,mkt,1.303210868845003,0.06702515803694083,19.443607549970118,3.3552275748494974e-75,1.17173681524008,1.434684922449926
TwoFactor_Mkt+MU_澜起科技,mu,0.0380015767511617,0.02390548634313162,1.5896592190470151,0.11212449837734072,-0.00889053488244921,0.0848936883847726
TwoFactor_Mkt+MU_澜起科技,_model_fit_,0.210792819476894,1488.0,198.31759305313557,4.6167704078839314e-77,,
CAPM_沪深300_北京君正,const,0.000748613735249413,0.0008217870604381267,0.9109582899130803,0.36245991426582536,-0.0008633261950346939,0.00236055366553352
CAPM_沪深300_北京君正,mkt,1.425672512505768,0.06948548692136544,20.51755806387537,6.752838241058072e-83,1.2893763400105867,1.5619686850009495
CAPM_沪深300_北京君正,_model_fit_,0.21467444598924434,1542.0,420.97018890449664,6.752838241059713e-83,,
CAPM_科创50_北京君正,const,0.00031560441459966215,0.0007248910517446118,0.43538186026726333,0.6633462864880989,-0.0011062734509264998,0.0017374822801258238
CAPM_科创50_北京君正,mkt,1.1101434316249963,0.03543234313639408,31.331358114014208,4.033247495425886e-167,1.0406426917439966,1.179644171505996
CAPM_科创50_北京君正,_model_fit_,0.3892897283984038,1542.0,981.6540012686023,4.033247495428234e-167,,
TwoFactor_Mkt+MU_北京君正,const,0.0005706941035702241,0.0008407921811151804,0.6787576245217777,0.4973972112535973,-0.0010785725229942689,0.002219960730134717
TwoFactor_Mkt+MU_北京君正,mkt,1.4090882439763928,0.07114913235137699,19.80471437118125,1.1901947683184731e-77,1.2695247559566687,1.5486517319961168
TwoFactor_Mkt+MU_北京君正,mu,0.026789782254896116,0.02537636107943353,1.0556983395309623,0.29127777368695845,-0.022987542477654478,0.0765671069874467
TwoFactor_Mkt+MU_北京君正,_model_fit_,0.21504677301143738,1488.0,203.41623356791274,8.346531998191349e-79,,
CAPM_沪深300_中芯国际,const,0.0005777595890963027,0.00065125808563192,0.8871438249180412,0.3751531937694618,-0.0006997825679926838,0.0018553017461852893
CAPM_沪深300_中芯国际,mkt,1.0425563153080515,0.0576487433090033,18.084632126668236,6.877686006776401e-66,0.9294695045562256,1.1556431260598774
CAPM_沪深300_中芯国际,_model_fit_,0.18871537436989982,1408.0,327.05391915692036,6.877686006777589e-66,,
CAPM_科创50_中芯国际,const,0.0003325374700618671,0.0005203243386081255,0.6390965122857969,0.5228642493280878,-0.0006881581536804885,0.0013532330938042228
CAPM_科创50_中芯国际,mkt,1.0040395189896134,0.027744821225272914,36.188357850186044,3.2526427050375305e-203,0.9496138165865626,1.0584652213926642
CAPM_科创50_中芯国际,_model_fit_,0.4822501741884454,1408.0,1309.597243893119,3.2526427050400484e-203,,
CAPM_沪深300_北方华创,const,0.0018021128178130606,0.000744112455318574,2.4218285891230367,0.0155574753752717,0.0003425320613208904,0.0032616935743052305
CAPM_沪深300_北方华创,mkt,1.2183709821877076,0.06291777854776388,19.3644945881677,6.093786806233221e-75,1.0949574065202559,1.3417845578551593
CAPM_沪深300_北方华创,_model_fit_,0.19581558857010728,1542.0,374.983650655176,6.093786806233784e-75,,
CAPM_科创50_北方华创,const,0.0013932050110251788,0.0006349855546932534,2.194073551323862,0.02837907140615174,0.00014767728244551633,0.0026387327396048413
CAPM_科创50_北方华创,mkt,1.0252874283397415,0.03103780355185233,33.03350466236689,2.342818327254494e-181,0.9644066025125848,1.0861682541668982
CAPM_科创50_北方华创,_model_fit_,0.4147184840423801,1542.0,1091.212430278613,2.3428183272558152e-181,,
