date,open,high,low,close,volume,amount,outstanding_share,turnover,code
2020-01-02,231.24,241.55,228.08,234.64,11096822.0,993788756.0,126699743.0,0.08758361885548575,300223
2020-01-03,234.46,236.99,223.6,224.44,11168930.0,963659684.0,126699743.0,0.08815274392466606,300223
2020-01-06,218.14,228.61,216.48,222.41,7236985.0,612188171.0,126699743.0,0.05711917663479396,300223
2020-01-07,224.12,226.23,214.89,219.88,9360887.0,776275466.0,126699743.0,0.07388244662816719,300223
2020-01-08,218.24,222.41,216.21,218.06,6616726.0,549682899.0,126699743.0,0.05222367341344962,300223
2020-01-09,220.59,225.44,216.34,223.75,8582517.0,721239788.0,126699743.0,0.06773902453772143,300223
2020-01-10,221.51,241.29,221.49,235.83,15501573.0,1363586378.0,126699743.0,0.12234889063666056,300223
2020-01-13,234.67,249.59,229.58,247.06,14673955.0,1345551719.0,126699743.0,0.11581677004664484,300223
2020-01-14,247.25,247.33,235.14,236.25,10459032.0,950365799.0,126699743.0,0.08254974913406099,300223
2020-01-15,233.59,241.0,231.66,238.18,7204129.0,648859669.0,126699743.0,0.05685985487752726,300223
2020-01-16,234.72,251.28,234.72,245.77,11963771.0,1106216846.0,126699743.0,0.09442616627880611,300223
2020-01-17,244.43,245.22,234.93,235.51,9006914.0,817873803.0,126699743.0,0.07108865248448057,300223
2020-01-20,229.4,255.39,229.4,253.47,14134136.0,1307266075.0,126699743.0,0.11155615366954612,300223
2020-01-21,250.49,278.81,246.53,272.19,18327674.0,1832061015.0,126699743.0,0.14465438970937772,300223
2020-01-22,268.95,287.4,263.67,278.31,15156642.0,1580774425.0,126699743.0,0.1196264620678828,300223
2020-01-23,271.35,286.51,260.72,268.37,13344689.0,1381729173.0,126699743.0,0.1053253044088653,300223
2020-02-03,241.53,241.53,241.53,241.53,1075800.0,98543280.0,126699743.0,0.008490940664338996,300223
2020-02-04,218.53,255.24,218.53,250.49,15585752.0,1437428901.0,126699743.0,0.12301328819585687,300223
2020-02-05,252.99,259.38,246.53,247.62,13066349.0,1246142548.0,126699743.0,0.10312845701668077,300223
2020-02-06,241.21,250.75,237.91,246.4,10057309.0,932946299.0,126699743.0,0.07937907971920669,300223
2020-02-07,246.48,271.03,246.43,265.6,12837877.0,1270791563.0,126699743.0,0.1013252015830845,300223
2020-02-10,261.04,272.61,239.31,258.87,10958718.0,1077682456.0,126699743.0,0.08649360875183464,300223
2020-02-11,256.24,274.22,256.24,263.91,9821893.0,996792653.0,126699743.0,0.07752101754460544,300223
2020-02-12,262.36,270.74,256.71,268.1,9421110.0,944121272.0,126699743.0,0.07435776724503695,300223
2020-02-13,272.16,294.92,271.58,294.92,16947533.0,1853095998.0,126699743.0,0.13376138418844308,300223
2020-02-14,297.95,304.49,282.13,297.63,15117167.0,1690615479.0,126699743.0,0.11931489868925779,300223
2020-02-17,295.29,305.86,295.26,303.49,11128593.0,1267365603.0,126699743.0,0.08783437705947043,300223
2020-02-18,303.22,331.12,297.9,325.95,12165948.0,1438417933.0,126699743.0,0.09602188380129548,300223
2020-02-19,316.41,352.0,310.84,330.41,12510382.0,1575226945.0,126699743.0,0.09874038971018276,300223
2020-02-20,333.02,349.05,324.0,340.75,10083047.0,1289551158.0,126699743.0,0.07958222140987295,300223
2020-02-21,338.82,346.63,332.49,337.98,10143349.0,1303855372.0,126699743.0,0.08005816554813375,300223
2020-02-24,340.14,366.48,338.98,362.92,9189547.0,1223035100.0,126699743.0,0.0725301155504317,300223
2020-02-25,350.69,372.47,332.23,362.29,11842842.0,1606105695.0,126699743.0,0.09347171288263781,300223
2020-02-26,354.64,375.1,334.65,335.39,11414082.0,1547693950.0,126699743.0,0.09008764919120633,300223
2020-02-27,342.78,347.21,320.55,332.97,9519913.0,1204014366.0,126699743.0,0.07513758729565852,300223
2020-02-28,315.35,329.59,299.67,310.53,11032235.0,1296619753.0,126699743.0,0.08707385460126782,300223
2020-03-02,324.19,324.32,298.66,307.71,8951535.0,1053246368.0,126699743.0,0.07065156398936026,300223
2020-03-03,313.77,333.68,308.76,316.51,9775639.0,1187189982.0,126699743.0,0.07715594971648837,300223
2020-03-04,311.13,311.93,285.29,295.63,8892120.0,1001682204.0,126699743.0,0.07018262065456597,300223
2020-03-05,302.3,303.22,282.47,298.48,8340826.0,930612518.0,126699743.0,0.06583143582224946,300223
2020-03-06,290.09,296.82,284.32,290.12,5152915.0,568060773.0,126699743.0,0.040670287705319184,300223
2020-03-09,281.05,284.77,263.67,264.68,8424193.0,873916604.0,126699743.0,0.06648942452866696,300223
2020-03-10,265.97,290.83,265.97,290.33,10269338.0,1093432592.0,126699743.0,0.08105255588403207,300223
2020-03-11,293.89,296.84,274.25,276.86,8261890.0,896021850.0,126699743.0,0.06520841956246115,300223
2020-03-12,267.89,286.35,267.89,279.47,5614864.0,593199059.0,126699743.0,0.044316301415070744,300223
2020-03-13,265.49,290.83,265.49,285.77,7980150.0,859345950.0,126699743.0,0.06298473707243431,300223
2020-03-16,285.8,289.38,259.85,264.2,8548559.0,889879218.0,126699743.0,0.06747100505168349,300223
2020-03-17,272.9,274.14,243.11,262.36,6580298.0,648975398.0,126699743.0,0.051936159018096825,300223
2020-03-18,267.1,270.21,249.7,251.28,7672071.0,758613203.0,126699743.0,0.060553169393563804,300223
2020-03-19,254.34,259.27,243.13,256.03,6929056.0,664608532.0,126699743.0,0.05468879285729885,300223
2020-03-20,260.32,261.56,243.34,246.53,6581428.0,623764097.0,126699743.0,0.051945077741791475,300223
2020-03-23,239.02,245.22,222.73,224.36,7338703.0,645322057.0,126699743.0,0.057922003835477395,300223
2020-03-24,231.4,233.9,215.18,229.11,8333143.0,713312168.0,126699743.0,0.06577079639380168,300223
2020-03-25,235.46,247.3,234.14,240.87,8422533.0,768646134.0,126699743.0,0.06647632268677925,300223
2020-03-26,238.47,248.38,232.09,238.89,5785286.0,530744486.0,126699743.0,0.04566138701638882,300223
2020-03-27,245.72,246.24,233.83,234.12,4667622.0,423972187.0,126699743.0,0.03684002737085268,300223
2020-03-30,227.0,233.61,217.08,226.76,6338252.0,538456182.0,126699743.0,0.05002576840270308,300223
2020-03-31,231.82,234.7,224.23,226.31,4886762.0,425068126.0,126699743.0,0.038569628353547644,300223
2020-04-01,222.17,240.58,221.51,231.16,6841810.0,605104008.0,126699743.0,0.05400018846131361,300223
2020-04-02,230.19,254.29,229.84,254.29,11502445.0,1075073996.0,126699743.0,0.09078506970610035,300223
