date,open,high,low,close,volume,symbol
2020-01-02,52.56,53.2,52.22,53.1,20184045.0,MU
2020-01-03,51.87,53.02,51.71,52.24,16826595.0,MU
2020-01-06,51.46,51.85,50.87,51.28,18791489.0,MU
2020-01-07,53.09,56.11,53.07,55.98,50303181.0,MU
2020-01-08,55.8,56.1,54.77,55.23,29755395.0,MU
2020-01-09,56.03,56.19,54.19,55.02,22405701.0,MU
2020-01-10,55.18,55.21,53.98,54.38,19148555.0,MU
2020-01-13,54.72,55.49,54.57,55.16,16192026.0,MU
2020-01-14,55.51,56.01,54.17,55.23,26550790.0,MU
2020-01-15,54.74,54.83,53.55,53.88,21638614.0,MU
2020-01-16,54.51,55.55,54.47,55.39,22732675.0,MU
2020-01-17,55.73,55.83,54.72,55.37,20549195.0,MU
2020-01-21,55.08,56.89,54.98,56.68,24821715.0,MU
2020-01-22,57.23,57.96,56.56,56.88,22604370.0,MU
2020-01-23,58.04,58.27,56.74,56.91,26146124.0,MU
2020-01-24,57.71,57.73,54.95,55.47,28555345.0,MU
2020-01-27,52.86,53.7,52.33,53.12,27310073.0,MU
2020-01-28,53.96,54.49,52.95,54.18,18544882.0,MU
2020-01-29,53.7,54.9,53.0,53.01,19306749.0,MU
2020-01-30,51.89,52.78,50.93,52.74,30783775.0,MU
2020-01-31,52.86,52.91,50.41,50.8,28550849.0,MU
2020-02-03,50.96,51.82,50.71,51.49,20481023.0,MU
2020-02-04,53.0,53.73,52.65,53.21,19998615.0,MU
2020-02-05,54.73,54.97,53.53,54.48,19795257.0,MU
2020-02-06,55.79,56.88,55.12,56.39,23358721.0,MU
2020-02-07,55.68,55.71,54.48,54.59,20891081.0,MU
2020-02-10,54.01,55.05,53.91,55.04,15929036.0,MU
2020-02-11,55.59,56.55,54.04,54.96,26776853.0,MU
2020-02-12,56.75,58.9,56.61,56.98,47180808.0,MU
2020-02-13,56.72,58.34,56.57,57.04,23679687.0,MU
2020-02-14,57.87,58.27,55.97,56.21,20920168.0,MU
2020-02-18,54.78,55.75,54.33,55.46,21547966.0,MU
2020-02-19,56.29,57.96,56.27,57.7,23335537.0,MU
2020-02-20,57.59,57.7,55.4,56.71,20797112.0,MU
2020-02-21,56.34,56.44,53.6,54.7,27051214.0,MU
2020-02-24,51.02,53.17,50.32,52.72,33321075.0,MU
2020-02-25,52.55,53.16,49.26,49.81,41894208.0,MU
2020-02-26,50.36,51.98,49.59,50.08,28100934.0,MU
