date,open,high,low,close,volume,symbol
2020-01-02,63.25,65.03,63.25,64.67,6671068.0,WDC
2020-01-03,62.94,64.36,62.6,63.66,3958325.0,WDC
2020-01-06,62.01,63.6,61.8,62.42,4085887.0,WDC
2020-01-07,64.26,67.03,63.58,66.71,11128846.0,WDC
2020-01-08,66.26,68.05,65.68,67.69,6604507.0,WDC
2020-01-09,68.44,68.72,66.34,67.67,5192468.0,WDC
2020-01-10,67.94,68.08,66.71,66.99,4484754.0,WDC
2020-01-13,67.61,68.73,67.28,68.18,4162372.0,WDC
2020-01-14,68.25,69.55,67.95,68.26,4496716.0,WDC
2020-01-15,67.44,67.63,65.09,65.72,5841333.0,WDC
2020-01-16,67.09,67.95,66.71,67.72,5229611.0,WDC
2020-01-17,68.81,68.85,66.91,67.31,4217124.0,WDC
2020-01-21,66.62,68.04,66.52,67.84,5044372.0,WDC
2020-01-22,68.09,68.86,67.33,67.69,3026423.0,WDC
2020-01-23,69.41,71.05,67.69,69.98,6943513.0,WDC
2020-01-24,70.76,70.81,67.94,68.57,4444582.0,WDC
2020-01-27,65.32,66.55,64.37,65.71,4577904.0,WDC
2020-01-28,66.53,67.88,65.47,67.46,3430899.0,WDC
2020-01-29,67.23,67.67,65.67,65.81,3125461.0,WDC
2020-01-30,64.44,66.02,63.56,66.01,8747718.0,WDC
2020-01-31,68.21,68.55,64.22,64.55,14053238.0,WDC
2020-02-03,64.65,68.1,63.74,66.29,5782183.0,WDC
2020-02-04,68.05,68.93,67.4,67.48,4744994.0,WDC
2020-02-05,68.49,69.53,66.46,67.16,4870685.0,WDC
2020-02-06,67.83,68.18,66.69,67.75,3730207.0,WDC
2020-02-07,67.1,67.29,65.94,66.08,4041496.0,WDC
2020-02-10,65.45,67.07,65.31,67.07,3084721.0,WDC
2020-02-11,68.19,68.85,67.29,67.97,3871019.0,WDC
2020-02-12,68.75,70.35,68.75,69.4,3981744.0,WDC
2020-02-13,68.21,70.14,68.09,68.63,3670541.0,WDC
2020-02-14,69.19,69.32,67.39,68.3,3204401.0,WDC
2020-02-18,66.77,67.48,66.06,67.36,2652294.0,WDC
2020-02-19,68.03,69.33,67.85,68.61,2669445.0,WDC
2020-02-20,68.65,68.75,66.48,68.11,2374047.0,WDC
2020-02-21,67.53,67.82,65.2,66.03,4101415.0,WDC
2020-02-24,62.65,63.99,62.19,62.61,5069363.0,WDC
2020-02-25,62.68,63.16,58.15,58.58,5893922.0,WDC
2020-02-26,58.92,60.78,58.38,58.67,4826174.0,WDC
2020-02-27,56.15,57.44,53.99,54.22,6394375.0,WDC
2020-02-28,51.3,54.76,50.83,54.61,7883311.0,WDC
2020-03-02,56.4,59.12,55.43,59.09,7553340.0,WDC
